,0
0,0.2395
1,0.0778
2,0.7733
3,0.1599
4,0.8917
5,0.338
6,0.3254
7,0.1297
8,0.3384
9,0.1986
10,0.4107
11,0.2496
12,0.2682
13,0.295
14,0.5253
15,0.6483
16,0.1365
17,0.9728
18,0.7595
19,0.2058
20,0.5829
21,0.6278
22,0.2519
23,0.7841
24,0.7445
25,0.8952
26,0.9368
27,0.3041
28,0.0132
29,0.5485
30,0.419
31,0.63
32,0.6307
33,0.5077
34,0.5569
35,0.2145
36,0.66
37,0.7657
38,0.7659
39,0.039
40,0.8245
41,0.1938
42,0.6208
43,0.1089
44,0.7111
45,0.5536
46,0.6809
47,0.9515
48,0.2787
49,0.1128
50,0.3294
51,0.0171
52,0.2804
53,0.4268
54,0.0069
55,0.6997
56,0.4547
57,0.2458
58,0.9402
59,0.3105
60,0.5197
61,0.5523
62,0.4773
63,0.855
64,0.7813
65,0.5409
66,0.2643
67,0.9922
68,0.6704
69,0.4145
70,0.1188
71,0.7733
72,0.7593
73,0.3843
74,0.1946
75,0.933
76,0.1441
77,0.8557
78,0.7388
79,0.9496
80,0.5764
81,0.3099
82,0.1584
83,0.3771
84,0.0386
85,0.1102
86,0.3213
87,0.1188
88,0.9846
89,0.3507
90,0.7233
91,0.8617
92,0.6833
93,0.4769
94,0.5164
95,0.3487
96,0.8372
97,0.2965
98,0.6716
99,0.1643
